imgs,pred
0.jpg,sofa
1.jpg,bicycle
2.jpg,boat
3.jpg,boat
4.jpg,car
5.jpg,car
6.jpg,chair
7.jpg,aeroplane
8.jpg,train
9.jpg,boat
10.jpg,sofa
11.jpg,aeroplane
12.jpg,diningtable
13.jpg,sofa
14.jpg,aeroplane
15.jpg,car
16.jpg,aeroplane
17.jpg,boat
18.jpg,diningtable
19.jpg,train
20.jpg,train
21.jpg,car
22.jpg,diningtable
23.jpg,motorbike
24.jpg,aeroplane
25.jpg,boat
26.jpg,car
27.jpg,bus
28.jpg,motorbike
29.jpg,sofa
30.jpg,sofa
31.jpg,car
32.jpg,sofa
33.jpg,motorbike
34.jpg,aeroplane
35.jpg,diningtable
36.jpg,train
37.jpg,car
38.jpg,train
39.jpg,car
40.jpg,boat
41.jpg,bus
42.jpg,car
43.jpg,bicycle
44.jpg,chair
45.jpg,sofa
46.jpg,boat
47.jpg,diningtable
48.jpg,car
49.jpg,chair
50.jpg,diningtable
51.jpg,bus
52.jpg,train
53.jpg,aeroplane
54.jpg,car
55.jpg,motorbike
56.jpg,train
57.jpg,bicycle
58.jpg,chair
59.jpg,diningtable
60.jpg,bus
61.jpg,train
62.jpg,bicycle
63.jpg,sofa
64.jpg,car
65.jpg,sofa
66.jpg,car
67.jpg,motorbike
68.jpg,sofa
69.jpg,bicycle
70.jpg,sofa
71.jpg,aeroplane
72.jpg,bicycle
73.jpg,sofa
74.jpg,aeroplane
75.jpg,bicycle
76.jpg,aeroplane
77.jpg,aeroplane
78.jpg,aeroplane
79.jpg,boat
80.jpg,car
81.jpg,car
82.jpg,diningtable
83.jpg,diningtable
84.jpg,car
85.jpg,car
86.jpg,bicycle
87.jpg,sofa
88.jpg,motorbike
89.jpg,motorbike
90.jpg,chair
91.jpg,diningtable
92.jpg,train
93.jpg,aeroplane
94.jpg,motorbike
95.jpg,train
96.jpg,chair
97.jpg,car
98.jpg,bus
99.jpg,boat
100.jpg,diningtable
101.jpg,aeroplane
102.jpg,diningtable
103.jpg,diningtable
104.jpg,bicycle
105.jpg,diningtable
106.jpg,car
107.jpg,bus
108.jpg,chair
109.jpg,car
110.jpg,diningtable
111.jpg,diningtable
112.jpg,car
113.jpg,train
114.jpg,diningtable
115.jpg,boat
116.jpg,chair
117.jpg,car
118.jpg,aeroplane
119.jpg,bicycle
120.jpg,car
121.jpg,sofa
122.jpg,diningtable
123.jpg,sofa
124.jpg,bicycle
125.jpg,sofa
126.jpg,chair
127.jpg,car
128.jpg,motorbike
129.jpg,boat
130.jpg,car
131.jpg,train
132.jpg,car
133.jpg,car
134.jpg,aeroplane
135.jpg,sofa
136.jpg,aeroplane
137.jpg,motorbike
138.jpg,bus
139.jpg,aeroplane
140.jpg,car
141.jpg,bus
142.jpg,chair
143.jpg,diningtable
144.jpg,diningtable
145.jpg,bus
146.jpg,car
147.jpg,sofa
148.jpg,motorbike
149.jpg,diningtable
150.jpg,chair
151.jpg,bicycle
152.jpg,bus
153.jpg,bicycle
154.jpg,bus
155.jpg,car
156.jpg,chair
157.jpg,car
158.jpg,boat
159.jpg,chair
160.jpg,sofa
161.jpg,train
162.jpg,bus
163.jpg,car
164.jpg,car
165.jpg,boat
166.jpg,diningtable
167.jpg,diningtable
168.jpg,aeroplane
169.jpg,boat
170.jpg,chair
171.jpg,sofa
172.jpg,train
173.jpg,car
174.jpg,chair
175.jpg,car
176.jpg,car
177.jpg,bus
178.jpg,car
179.jpg,train
180.jpg,chair
181.jpg,bicycle
182.jpg,chair
183.jpg,bus
184.jpg,bus
185.jpg,chair
186.jpg,train
187.jpg,car
188.jpg,bicycle
189.jpg,chair
190.jpg,train
191.jpg,car
192.jpg,train
193.jpg,bicycle
194.jpg,chair
195.jpg,car
196.jpg,train
197.jpg,bus
198.jpg,train
199.jpg,chair
200.jpg,boat
201.jpg,diningtable
202.jpg,car
203.jpg,train
204.jpg,car
205.jpg,diningtable
206.jpg,aeroplane
207.jpg,bus
208.jpg,bicycle
209.jpg,chair
210.jpg,sofa
211.jpg,car
212.jpg,diningtable
213.jpg,sofa
214.jpg,chair
215.jpg,diningtable
216.jpg,car
217.jpg,train
218.jpg,car
219.jpg,car
220.jpg,diningtable
221.jpg,car
222.jpg,boat
223.jpg,train
224.jpg,chair
225.jpg,car
226.jpg,bicycle
227.jpg,train
228.jpg,motorbike
229.jpg,diningtable
230.jpg,sofa
231.jpg,bus
232.jpg,bicycle
233.jpg,sofa
234.jpg,bus
235.jpg,aeroplane
236.jpg,sofa
237.jpg,boat
238.jpg,aeroplane
239.jpg,chair
240.jpg,bicycle
241.jpg,bus
242.jpg,aeroplane
243.jpg,motorbike
244.jpg,car
245.jpg,chair
246.jpg,aeroplane
247.jpg,bus
248.jpg,aeroplane
249.jpg,chair
250.jpg,bicycle
251.jpg,chair
252.jpg,chair
253.jpg,diningtable
254.jpg,bus
255.jpg,boat
256.jpg,sofa
257.jpg,bicycle
258.jpg,car
259.jpg,diningtable
260.jpg,sofa
261.jpg,diningtable
262.jpg,bus
263.jpg,aeroplane
264.jpg,train
265.jpg,boat
266.jpg,diningtable
267.jpg,aeroplane
268.jpg,car
269.jpg,sofa
270.jpg,chair
271.jpg,car
272.jpg,bus
273.jpg,aeroplane
274.jpg,chair
275.jpg,boat
276.jpg,bus
277.jpg,car
278.jpg,train
279.jpg,train
280.jpg,boat
281.jpg,car
282.jpg,boat
283.jpg,motorbike
284.jpg,boat
285.jpg,boat
286.jpg,bicycle
287.jpg,boat
288.jpg,motorbike
289.jpg,bicycle
290.jpg,car
291.jpg,aeroplane
292.jpg,boat
293.jpg,diningtable
294.jpg,car
295.jpg,diningtable
296.jpg,car
297.jpg,boat
298.jpg,car
299.jpg,bus
300.jpg,car
301.jpg,diningtable
302.jpg,car
303.jpg,aeroplane
304.jpg,car
305.jpg,bus
